id,name,provId,geoId,provName,421province,alternateNames,district,Code
1602,Waygal,16,1406,Nuristan,Nuristan,"Waygal, Want Wagal, Wegal, Want Wegal.",Waygal,1602
1606,Kamdesh,16,1407,Nuristan,Nuristan,"Kamdesh, Kamdish.",Kamdesh,1606
1608,Barg-e- Matal,16,1408,Nuristan,Nuristan,"Bargi Matal, Barg-i-Matal, Barg-e-Matal, Barg-e-Mataal, Bargromatal.",Bargi Matal,1608
1701,Faiz Abad,17,1501,Badakhshan,Badakhshan,"Faiz Abad, Fayzabad.  (There is also a Faizabad district in Jowzjan.)",Faiz Abad,1701
1704,Yaftal-e-Sufla,17,1502,Badakhshan,Badakhshan,"Yaftal-e-Sufla, Yaftal Payin, Yaftal-i-Paen, Lower Yaftal.",Yaftal-e-Sufla,1704
1702,Argo,17,1503,Badakhshan,Badakhshan,"Argo, Orgu.",Argo,1702
1703,Arghanj Khwa,17,1504,Badakhshan,Badakhshan,"Arghanj Khwah, Arghanjkhwa.",Arghanj Khwah,1703
1708,Kohistan,17,1505,Badakhshan,Badakhshan,"Kohistan, Kohestiani.  (There is also a Kohistan in Faryab, a Hissa-e-Awali Kohistan in Kapisa, a Hissa-e Duome Kohistan in Kapisa, and a Kohistanat in Saripul.)",Kohistan,1708
1714,Raghistan,17,1506,Badakhshan,Badakhshan,"Kohistan, Kohestiani.  (There is also a Kohistan in Faryab, a Hissa-e-Awali Kohistan in Kapisa, a Hissa-e Duome Kohistan in Kapisa, and a Kohistanat in Saripul.)",Kohistan,1708
1709,Yawan,17,1507,Badakhshan,Badakhshan,Yawan.,Yawan,1709
1713,Shahr-e-Buzorg,17,1508,Badakhshan,,,,
1711,Teshkan,17,1509,Badakhshan,Badakhshan,"Tashkan, Teshkan.",Tashkan,1711
1707,Darayem,17,1510,Badakhshan,Badakhshan,"Darayim, Darayem, Darah Aim.",Darayim,1707
1705,Khash,17,1511,Badakhshan,Badakhshan,Khash.,Khash,1705
1706,Baharak,17,1512,Badakhshan,Badakhshan,"Baharak, Bahorak.  (There is also a Baharak district in Takhar.)",Baharak,1706
1712,Shuhada,17,1513,Badakhshan,Badakhshan,"Shuhada, Shohada.",Shuhada,1712
1719,Shighnan,17,1514,Badakhshan,Badakhshan,Shighnan.,Shighnan,1719
1727,Darwaz-e-Balla,17,1515,Badakhshan,Badakhshan,"Darwaz-e-Bala, Upper Darwaz, Mamai, Mam May.  (Several sources mistakenly reverse Mamai, the center of Darwaz-e-Bala, with Nesay, the center of Darwaz-e-Payin.)",Darwaz-e-Bala,1727
1721,Kof Ab,17,1516,Badakhshan,,,,
1720,Khwahan,17,1517,Badakhshan,Badakhshan,"Arghanj Khwah, Arghanjkhwa.",Arghanj Khwah,1703
1715,Keshem,17,1518,Badakhshan,,,,
1717,Tagab,17,1519,Badakhshan,Badakhshan,"Tagab, Tagau.",Tagab,1717
1718,Yamgan,17,1520,Badakhshan,Badakhshan,"Yamgan, Girwan, Yumgan,.",Yamgan,1718
1710,Jorm,17,1521,Badakhshan,,,,
1716,Warduj,17,1522,Badakhshan,,,,
1723,Ishkashem,17,1523,Badakhshan,Badakhshan,"Eshkashim, Ishkashem.  (Eshkashim is sometimes confused with Eshkamish district of Takhar.)",Eshkashim,1723
1722,Darwaz,17,1524,Badakhshan,,,,
1724,Shaki,17,1525,Badakhshan,,,,
1726,Koran wa Monjan,17,1526,Badakhshan,Badakhshan,"Kiran Wa Menjan, Kirn wa Manjan, Koran o Monjan.",Kiran Wa Menjan,1726
1725,Zebak,17,1527,Badakhshan,Badakhshan,"Zebak, Zibak.",Zebak,1725
1728,Wakhan,17,1528,Badakhshan,Badakhshan,Khwahan.,Khwahan,1720
1801,Taloqan,18,1601,Takhar,Takhar,"Taluqan, Taloqan.",Taluqan,1801
1802,Hazar Sumuch,18,1602,Takhar,Takhar,"Hazar Sumuch, Hazarsumuch, Hazar Sumoch.",Hazar Sumuch,1802
1803,Baharak,18,1603,Takhar,Badakhshan,"Baharak, Bahorak.  (There is also a Baharak district in Takhar.)",Baharak,1706
1804,Bangi,18,1604,Takhar,Helmand,Sangin.,Sangin,3008
1805,Chal,18,1605,Takhar,Takhar,Chal.,Chal,1805
1806,Namak Ab,18,1606,Takhar,Badghis,"Ab Kamari, Ab-e Kamari, Abkamari.",Ab Kamari,3102
1808,Farkhar,18,1607,Takhar,Logar,"Charkh, Tchark.",Charkh,503
1807,Kalafgan,18,1608,Takhar,Kabul,Kalakan.,Kalakan,110
1810,Rostaq,18,1609,Takhar,,,,
1816,Chah Ab,18,1610,Takhar,Kabul,"Chahar Asyab, Chaharasyab, Char Asyab, Char Asiab.",Chahar Asyab,103
1817,Yangi Qala,18,1611,Takhar,Parwan,Salang.,Salang,306
1814,Khwaja Bahawuddin,18,1612,Takhar,Takhar,"Khwaja Bahawuddin, Khwajabahauddin, Khwaja Bahauddin.",Khwaja Bahawuddin,1814
1812,Dasht-e-Qala,18,1613,Takhar,Kunduz,"Dasht-e-Archi, Dasht-i-Archi.  (Calbad is part of Dasht-e-Archi in the 399 and 407 sets.)",Dasht-e-Archi,1906
1809,Khwaja Ghar,18,1614,Takhar,Ghazni,"Khwaja Omari, Khwajah Omari, Khwajaumari, Khwaja Umari.",Khwaja Omari,1103
1811,Ishkamish,18,1615,Takhar,Takhar,"Eshkamesh, Ishkamish.  (There is also an Eshkashim district in Badakhshan.)",Eshkamesh,1811
1813,Warsaj,18,1616,Takhar,Takhar,Warsaj.,Warsaj,1813
1815,Darqad,18,1617,Takhar,Takhar,Darqad.,Darqad,1815
1901,Kunduz,19,1701,Kunduz,Kunduz,"Kunduz, Konduz.  (Gurtepa is part of the Kunduz capital district in the 399 and 407 sets.)",Kunduz,1901
1905,Imam Saheb,19,1702,Kunduz,Kunduz,"Imam Sahib, Hazrati Imam Sahib, Emamsaheb, Emam Sahib.",Imam Sahib,1905
1907,Qala-e-Zal,19,1703,Kunduz,Kunduz,"Qala-e-Zal, Qala-i-Zal, Qal'ah-ye Zal.",Qala-e-Zal,1907
1902,Chahar Darah,19,1704,Kunduz,Kabul,"Shakar Dara, Shakardara.",Shakar Dara,106
1903,Ali Abad,19,1705,Kunduz,Kunduz,"Ali Abad, Aliabad.",Ali Abad,1903
1904,Khan Abad,19,1706,Kunduz,Jowzjan,"Khanaqa, Khaniqa.",Khanaqa,2803
1906,Dasht-e-Archi,19,1707,Kunduz,Kunduz,"Dasht-e-Archi, Dasht-i-Archi.  (Calbad is part of Dasht-e-Archi in the 399 and 407 sets.)",Dasht-e-Archi,1906
2101,Mazar-e-Sharif,21,1801,Balkh,Balkh,"Mazar-e-Sharif, Mazar-i-Sharif, Mazar.",Mazar-e-Sharif,2101
2102,Nahr-e- Shahi,21,1802,Balkh,Balkh,"Nahri Shahi, Nahr-e Shahi.",Nahri Shahi,2102
2112,Shor Tepa,21,1803,Balkh,Balkh,"Shortepa, Shortepah, Shortipa.",Shortepa,2112
2109,Dawlat Abad,21,1804,Balkh,Balkh,"Dawlat Abad, Dawlatabad, Dolatabad.  (There is also a Dawlatabad in Faryab, and a Dawlatshah in Laghman, and a Dawlatyar in Ghor.)",Dawlat Abad,2109
2106,Balkh,21,1805,Balkh,Balkh,Balkh.,Balkh,2106
2103,Deh Dadi,21,1806,Balkh,Balkh,"Dehdadi, Dihdadi.",Dehdadi,2103
2104,Chahar Kent,21,1807,Balkh,Balkh,"Char Kent, Charkent, Charkint, Chahar Kent, Char Kant.",Char Kent,2104
2105,Marmul,21,1808,Balkh,Balkh,Marmul.,Marmul,2105
2110,Khulm,21,1809,Balkh,Balkh,"Khulm, Khulam, Tashqurghan, Tash Qurghan.",Khulm,2110
2113,Kaldar,21,1810,Balkh,Balkh,Kaldar.  (The 421 district set shows Sharak-e-Hairatan as part of Kaldar.),Kaldar,2113
0,Sharak-e-Hayratan,,1811,,,,,
2111,Chahar Bolak,21,1812,Balkh,Balkh,"Char Bolak, Chahar Bulak, Charbulak.",Char Bolak,2111
2108,Chemtal,21,1813,Balkh,Balkh,"Chimtal, Chemtal, Tchimtal.",Chimtal,2108
2107,Sholgareh,21,1814,Balkh,Balkh,"Sholgara, Sholgarah, Shulgara, Shulgar.",Sholgara,2107
2114,Kishindeh,21,1815,Balkh,Badakhshan,"Kishim, Keshem, Keshm.",Kishim,1715
2115,Zari,21,1816,Balkh,Balkh,"Zari, Zaray.",Zari,2115
2001,Aybak,20,1901,Samangan,Samangan,"Aybak, Aibak.",Aybak,2001
2002,Hazrat-e- Sultan,20,1902,Samangan,Samangan,"Hazrat-e-Sultan, Hazrat Sultan.",Hazrat-e-Sultan,2002
2004,Feroz Nakhchir,20,1903,Samangan,Samangan,"Feroz Nakhcheer, Feroznakhchir, Feroz Nakhchir.",Feroz Nakhcheer,2004
2006,Darah Suf-e- Payin,20,1904,Samangan,Badakhshan,"Darwaz-e-Payin, Darwas-e Pa'in, Nesay, Nesai, Lower Darwaz.  (Several sources mistakenly reverse Mamai, the center of Darwaz-e-Bala, with Nesay, the center of Darwaz-e-Payin.)",Darwaz-e-Payin,1722
2006,Darah Suf-e-Bala,20,1905,Samangan,Badakhshan,"Darwaz-e-Bala, Upper Darwaz, Mamai, Mam May.  (Several sources mistakenly reverse Mamai, the center of Darwaz-e-Bala, with Nesay, the center of Darwaz-e-Payin.)",Darwaz-e-Bala,1727
2003,Khuram wa Sarbagh,20,1906,Samangan,Samangan,"Khuram Wa Sarbagh,Khuram wa Sar Bagh, Khuram Sarbagh.",Khuram Wa Sarbagh,2003
2005,Ruy-e-Du Ab,20,1907,Samangan,,,,
2201,Sar-e-Pul,22,2001,Sar-e-Pul,Baghlan,"Pul-e-Hisar, Pul-i Hesar, Pul-e Hesar, Pule Hisar.",Pul-e-Hisar,912
