id,gender,party,name,name_dari,ballotNumber,incumbent,electedPreliminary,electedFinal
992914,M,independent, Muhammad Ihsan,,554,0,0,0
993605,M,independent, Dr. Faheem,داکتر فهیم,436,0,0,0
994017,M,independent,General Sikandar Asghari,جنرال سکندر  اصغری,606,0,0,0
996195,M,independent,Abdul Mateen Muhammad Khil,عبدالمتین محمد خیل,356,0,0,0
996229,M,independent,Alhaj Dr. Najeebullah Babakar Khill,الحاج داکتر نجیب اله بابکرخیل,389,0,0,0
996244,M,independent, Maulawi Nadar Shah Baleegh,مولوی نادر شاه بلیغ,478,0,0,0
996380,M,independent, Shirullah Jabarkhil,شیر الله جبارخیل,412,0,0,0
997138,M,independent,Dr. Ramzan Bashar Dost,داکتر رمضان بشر دوست,100,1,1,1
1001242,M,independent,Jawad Omid,جواد امید,43,0,0,0
1004938,M,independent,Sayed Jamal Taheri,سید جمال طاهری,508,0,0,0
1008086,M,independent, Abdul Hakim Ahmadi,عبدالحکیم احمدی,463,0,0,0
1017429,M,independent, Dr. Abdul Khalil Khakzad,,130,0,0,0
1032394,M,independent,Hajji Eng. Muhammad Zia Tahiri,حاجی انجنیر محمد ضیا طاهری,67,0,0,0
1044582,M,independent,Muhammad Aqa Nazari,محمد آقا نظری,85,0,0,0
1044702,M,independent, Hajji Muhammad Aman Safi,حاجی محمد امان صافی,180,0,0,0
1044894,M,independent,Muhammad Suliman Kakar,محمد سلیمان کاکړ,406,0,0,0
1051349,M,independent,Ustad Sayed Yosuf Qadis,استاد سید یوسف  قدیس,162,0,0,0
1058127,M,independent,Hajji Fakuri Behishti,حاجی فکوری بهشتی,27,1,1,1
1069556,F,independent, Ustad Shireen Taaj Rahemi,استاد شیرین تاج  رحیمی,337,0,0,0
1071366,M,independent, Shah Muhammad Nazari,شاه محمد نظری,118,0,0,0
1073284,M,independent,Sayed Dawood Shah Murtazawi,سید داودشاه مرتضوی,240,0,0,0
1081847,M,independent, Dr. Ali Jan Jamal,داکتر علی جان جمال,35,0,0,0
1083737,M,Political party, Abdul Malik Habibi,عبدالملک حبیبی,34,0,0,0
1087368,M,independent,Alhaj Pohand  Muhammad Zahir Amiri,الحاج پوهاند محمد ظاهر امیری,46,0,0,0
1092179,F,independent,Dr. Zeba Habib Durani,داکتر زیبا  حبیب  درانی,72,0,0,0
1095117,M,independent,Hajji Shafiullah Arab,حاجی شفیع الله عرب,159,0,0,0
1095147,M,independent,Alhaj Rahem Jan Sherzad Fe Sabilullah,الحاج رحیم جان شیرزاد فی سبیل الله,77,0,0,0
1098045,M,independent,Ashuqullah,عاشق الله,43,0,0,0
1098075,M,independent, Gull Muhammad,گل محمد,152,0,0,0
1124252,F,independent,Eng. Nafisa Azimi,انجنیر نفیسه عظیمی,15,0,1,1
1124743,M,independent, Muhammad Asif Amini,محمد آصف امینی,74,0,0,0
1132221,M,independent,Dr. Mirwais Momand,ډاکټر میرویس مومند,32,0,0,0
1136901,M,independent,Hajji Sakhi ,حاجی سخی,26,0,1,1
1137454,M,independent, Alhaj Muhammad Roze,الحاج محمد روزی,22,0,0,0
1141968,M,independent,Hajji Pacha Sangar Mal,حاجی پاچا سنګر مل,19,0,0,0
1145213,F,independent, Rana Qadiri,رڼا قادری,41,0,0,0
1145253,F,independent,Safoora Yalkhani,صفورا ایلخانی,2,1,1,1
1146752,M,independent,Ustad Ghulam Ali Amin,استاد غلام علی امین,1,0,0,0
1151503,M,independent,Muhammad Rahim Ali Yar Zada,محمد رحیم  علی یار زاده,12,0,0,0
1160518,F,independent,Zarkai Kazemi,زرکی کاظمی,8,0,0,0
1226023,M,independent,Abdul Hamid Habibi,عبدالحمید حبیبی,19,0,0,0
1228811,M,independent,Hajji Abdul Kabir,حاجی عبدالکبیر,39,0,0,0
1243575,M,independent,Eng. Muhammad Khan,انجینر محمد خان,168,0,0,0
1275334,M,independent,Malik Asmatullah Shenwari,ملک عصمت الله شینواری,19,0,0,0
1283703,M,independent, Sharifullah Sharifi,شریف الله شریفی,36,0,0,0
1285396,M,independent, Ustad Rohullah Lal Porwal,استاد روح الله لعل پوروال,156,0,0,0
1304417,M,independent, Mustufi Zulmai,مستوفی زلمی,18,0,0,0
1307463,M,independent,Dr. Zabihullah Hakemi,داکتر ذبیح الله   حکیمی,36,0,0,0
1323209,M,independent,Dr. Muhammad Nawaz Haqiqat Sanin,ډاکټر محمد نواز حقیقت سانین,17,0,0,0
1324605,M,independent,Farydoon Momand,فریدون مومند,121,1,1,1
1326136,M,independent,Mia Khan Agha,میا خان اغا,133,0,0,0
1329001,F,independent,Najeba Sapai,نجیبه  ساپۍ,9,0,0,0
1334964,M,independent, Shekh Muqadas Bilal,شیخ مقدس بلال,140,0,0,0
1335057,F,independent, Dr. Maliha Obaidi,داکتر ملیحه عبیدی,158,0,0,0
1344418,F,independent,Sajida Hashimi,ساجده هاشمی,11,0,0,0
1347143,M,independent, Alhaj Ustad Laal Pacha Azmon,الحاج استاد لعل پاچا ازمون,85,0,0,0
1347387,M,independent,Eng. Anar Gull Faqiri,انجینر انار گل فقیری,55,0,0,0
1347412,M,independent,Dr. Tajwar Khan Nasiri,,143,0,0,0
1347420,M,independent, Hajji Sahar Gull,حاجی سهار گل,21,0,0,0
1347516,M,independent,Hajji Hazrat Ali,حاجی حضرت علی,65,1,1,1
1347724,M,independent, Khaibar,خیبر,89,0,0,0
1352028,M,independent, Qazi Muhammad Aman Mubariz,قاضی محمد امان مبارز,25,0,0,0
1360512,F,independent, Gulalay Nasiri,گلالۍ ناصری,99,0,0,0
1366023,F,independent,Sefora Kohestani,صیفوره کوهستانی,8,0,0,0
1372347,F,independent,Shafiqa Safi,شفیقه صافی,11,0,0,0
1373372,M,independent,Qari Omid Safi,قاری امید  صافی,24,0,0,0
1383203,F,independent, Tahira Mirzada,طاهره  میرزاده,18,1,0,0
1383796,M,independent, Sher Bahadur Hemat,شیربهادر همت,95,0,0,0
1388140,F,independent, Azima Tasleem Kohistani,عظیمه تسلیم کوهستانی,38,0,0,0
1389129,M,independent,Mir Haidar Andarabi,,110,0,0,0
1412943,M,independent, Abdul Khaliq Azad,عبدالخالق آزاد,19,0,0,0
1419485,M,independent,Dr. Sayed Rahem Arab,دکتورسید رحیم عرب,17,0,0,0
1427155,M,independent, Hajji Muhammad Jan Rezayee,حاجی محمدجان رضایی,65,0,0,0
1438829,M,independent, Muhammad Arif Rezayee,محمد عارف رضائی,57,0,0,0
1446468,M,independent,Hajji Salih Muhammad,حاجی صالح محمد,6,0,1,1
1447763,F,independent, Anisa Amiri,انیسه امیری,23,0,0,0
1455292,M,independent,Dr. Abdullah Rawan Numialay,داکتر عبدالله روان   نومیالی,75,0,0,0
1461938,F,independent,Eng. Sakina Ghafari,انجنیر سکینه غفاری,40,0,0,0
1462625,M,independent,Din Muhammad Hakimi,دین محمد حکیمی,9,0,0,0
1464901,M,independent,Sher Muhammad Mauj,شیر محمد موج,9,0,0,0
1465715,M,independent,Dr. Amar ‐ud‐ Din,داکتر امرالدین,28,0,0,0
1468017,M,independent,Hajji Khalilullah Azizi,حاجی خلیل الله عزیزی,2,0,0,0
1468083,M,independent,Sayed Ghulam Hussain Balkhabi,سید غلام حسین حسینی بلخابی,44,0,0,0
1475566,M,independent,Hajji Abdul Ghafar,حاجی عبدالغفار,21,0,0,0
1488182,M,independent,Hajji Payenda Muhammad Khan,حاجی پاینده محمد خان,37,1,0,0
1489801,M,independent,Faizullah Faiz,فیض الله فیاض,25,0,0,0
1508158,M,independent,Hamidullah Bik,حمیدالله بیک,34,0,0,0
1508673,M,independent,Alhaj Qari Abdul Manan,الحاج قاری عبدالمنان,42,0,0,0
1515001,M,independent,Hajji Waheedullah Kalimzai Wardak,,2,0,1,0
1515002,M,independent, Ghulam Husain Naseri,غلام حسین ناصری,30,0,1,1
1515004,F,independent,Ustad Humaira Haqmal,استاد حمیرا حقمل,9,0,0,0
1515005,M,independent,Mohammad Aman Bahbudi,محمد امان بهبودی,3,0,0,0
1515006,M,independent,Sharif Poya,شریف پویا,12,0,0,0
1515007,F,independent,Sediqa Mubariz,صدیقه مبارز,34,1,1,1
1515008,M,independent,Hajji Abdul Majed Wardak,حاجی عبدالمجید وردگ,25,0,0,1
1515009,F,independent,Eng. Suhaila Faize Nazhad,انجنیر سهیلا فیضی نژاد,26,0,0,0
1515010,M,independent,Dr. Zabihullah Ahmadi,داکتر ذبیح الله احمدی,33,0,0,0
1515011,F,independent,Eng. Hamida Akbari,انجنیر حمیده اکبری,21,0,1,1
1515012,M,independent,Zaidullah Haidari,زیدالله حیدری,23,0,0,0
1515013,M,independent,Mohammad Dawood Husaini,محمد داود حسینی,27,0,0,0
1515015,M,independent,Ustad Mohammad Anwar Maidanwall,استاد محمد انور میدانوال,13,0,0,0
1515016,M,independent,Dr. Meia Fazal Rahim Bawar,داکتر میا فضل الرحیم باور,14,0,0,0
1515017,M,independent,General Zalmai Wardak,جنرال زلمی وردگ,37,0,0,0
