alternateNames,district,Code
"Surubi, Sarobi, Sorubi, Sarubi, Surobi.  (There is also a Surubi in Paktika.)",Surubi,0115
Arghandab.  (There is also an Argandab in Zabul.),Arghandab,2702
"Arghistan, Argestan.",Arghistan,2708
Daman.,Daman,2703
Dand.  (Dand is part of the Kandahar capital district in the 399 set. There is also a Dand Patan district in Paktia.),Dand,2717
Ghorak.,Ghorak,2709
"Kandahar, Qandahar.  (Dand is part of the Kandahar capital district in the 399 set.)",Kandahar,2701
"Khakrez, Khakriz.",Khakrez,2707
"Maiwand, Maywand.",Maiwand,2710
"Maruf, Ma'ruf, Maroof.",Maruf,2715
"Miyanishin, Miyanshin, Miyaneshin, Mya Nishin, Myan-e-Sheen.",Miyanishin,2713
"Nesh, Nish.",Nesh,2712
"Panjwayee, Panjwayi, Panjwa'i, Panjwai.",Panjwayee,2704
"Reg, Registan.  (There is also a Reg-e Khan Neshin, in Kandahar, and a Ragistan in Badakhshan.)",Reg,2716
"Shah Wali Kot, Shahwalikot, Shah Walikot..",Shah Wali Kot,2706
"Shorabak.  (There is also a military base named Shorabak, formerly Camp Bastion, in Washir, Helmand.)",Shorabak,2714
"Spin Boldak, Spinboldak.  (Takhta Pul is part of Spin Boldak in the 399 an 407 sets.)",Spin Boldak,2711
"Takhta Pul, Shegah.  (Takhta Pul was part of Spin Boldak in the 399 an 407 sets.)",Takhta Pul,2718
"Zhire, Zheray, Zhari, Zari, Zherai.",Zhire,2705
"Alasai, Ala Say, Alasay.",Alasai,0207
"Hissa-e-Awali Kohistan, Hisah-e Awal-e Kohistan, Kohistan Awal, Kohistani Awal.  (There is also a Hissa-e-Duwumi Kohistan in Kapisa, a Kohistan in Badakhshan, another Kohistan in Faryab, and Kohistanat in Saripul.)",Hissa-e-Awali Kohistan,0204
"Hissa-e-Duwumi Kohistan, Hisah-e Dowum-e Kohistan, Kohistan-I-Duwum.  (There is also a Hissa-e-Awali Kohistan in Kapisa, a Kohistan in Badakhshan, another Kohistan in Faryab, and a Kohistanat in Saripul.)",Hissa-e-Duwumi Kohistan,0202
"Koh Band, Kohband.",Koh Band,0203
"Mahmood Raqi, Mahmudi Raqi, Mahmud-e-Raqi.",Mahmood Raqi,0201
"Nijrab, Nejrab.",Nijrab,0205
Tagab.,Tagab,0206
"Baak, Bak.",Baak,1409
Gurbuz.,Gurbuz,1403
"Jaji Maidan, Jajimaydan, Jaji, Zazi Maidan, Zazi, Zazai.",Jaji Maidan,1413
"Khost, Matun.",Khost,1401
"Manduzay, Esmayel Khil, Mandozayi, Manduzai, Ismail Khel, Mando Zayi.",Manduzay,1402
"Musa Khel, Musakhel, Musakhil.",Musa Khel,1405
"Nadir Shah Kot, Nadirshahkot.",Nadir Shah Kot,1406
