id,name,provId,geoId,provName,alternateNames,district,Code
2108,Sangi Takht,21,,Daikondi,"Sang-e-Takht, Sangi Takht, Sang-e-Takht Bandar, Bandar.",Sang-e-Takht,2407
2109,Shahristan,21,,Daikondi,"Nahri Shahi, Nahr-e Shahi.",Nahri Shahi,2102
2201,Tirin Kot,22,,Urozgan,"Tirinkot, Tirin Kot, Tarinkot, Tarin Kot.",Tirinkot,2501
2202,Chora,22,,Urozgan,Ghorak.,Ghorak,2709
2203,Khas Uruzgan,22,,Urozgan,"Khas Urozgan, Khasuruzgan, Khas Oruzgan.",Khas Urozgan,2505
2204,Shahidi Hassas,22,,Urozgan,"Shahidi Hassas, Shaidi Assas, Charchino, Char China.  (Sia Sang is included in Shahidi Hassas in all district sets, but some consider it to be a district.)",Shahidi Hassas,2504
2205,Dihrawud,22,,Urozgan,,,
2301,Qalat,23,,Zabul,Qalat.,Qalat,2601
2302,Shahjoy,23,,Zabul,"Shah Joi, Shahjoy, Shajoy, Shahjoi.",Shah Joi,2606
2303,Arghandab,23,,Zabul,"Andarab, Bano Andarab.",Andarab,907
2304,Daychopan,23,,Zabul,"Daichopan, Daychopan, Day Chopan.",Daichopan,2607
2305,Mizan,23,,Zabul,Mizan.,Mizan,2604
2306,Tarnak Wa Jaldak,23,,Zabul,"Tarnak wa Jaldak, Jeldak, Jaldak, Shahr-e-Safa, Shar-e-Safa.",Tarnak wa Jaldak,2602
2307,Shinkay,23,,Zabul,"Shinkai, Shinkay.  (There is also a Shinkai area in Kapisa.  The Surri (or Seuri, Sewray) area is included in Shinkai in all of these district sets.)",Shinkai,2603
2308,Atghar,23,,Zabul,Atghar.,Atghar,2608
2309,Shamulzayi,23,,Zabul,"Shamul, Shamal.",Shamul,1412
2310,Kakar,23,,Zabul,"Kakar, Khak-e-Afghan.",Kakar,2611
2311,Naw Bahar,23,,Zabul,"Baharak, Bahorak.  (There is also a Baharak district in Takhar.)",Baharak,1706
2401,Sharan,24,,Paktika,"Sharan, Sharana.",Sharan,1201
2402,Zarghun Shahr,24,,Paktika,"Zarghun Shahr, Khair Kot, Katawaz, Zarghunshahr.",Zarghun Shahr,1207
2403,Dila,24,,Paktika,"Dilaram, Delaram.  (Dilaram is part of Kashrod in the 399 district set.)",Dilaram,3406
2404,Waza Khwa,24,,Paktika,"Wazakhwah, Waza Khwa, Wazah Khwah, Wazi Khwa.",Wazakhwah,1217
2405,Wor Mayi,24,,Paktika,"Wormamay, Wur Mamay, Wormamai, Wormami, Wor Mamay.",Wormamay,1218
2406,Gomal,24,,Paktika,"Gomal, Gumal.  (Chaharbaran is part of Gomal in these district sets, but is often refered to as a district.)",Gomal,1208
2407,Omna,24,,Paktika,"Omna, Omnah.",Omna,1206
2408,Sarobi,24,,Paktika,,,
2409,Barmal,24,,Paktika,Almar.,Almar,2904
2410,Gayan,24,,Paktika,"Yamgan, Girwan, Yumgan,.",Yamgan,1718
2411,Urgun,24,,Paktika,,,
